,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
38703,None,272.15,0.0,0.0,90,Clouds,overcast clouds,11/5/2017 18:00,3765,medium
8710,None,296.22,0.0,0.0,48,Clouds,scattered clouds,8/29/2013 22:00,2150,low
24414,None,287.37,0.0,0.0,0,Clear,Sky is Clear,6/24/2016 4:00,1005,very low
43089,None,272.68,0.0,0.0,90,Clouds,overcast clouds,4/10/2018 1:00,333,very low
44984,None,303.94,0.0,0.0,90,Thunderstorm,proximity thunderstorm,6/15/2018 16:00,6333,very high
11585,None,276.793,0.0,0.0,64,Clouds,broken clouds,1/18/2014 21:00,2400,low
3550,None,271.37,0.0,0.0,90,Mist,mist,2/12/2013 3:00,343,very low
20430,None,269.59,0.0,0.0,90,Clouds,overcast clouds,1/5/2016 22:00,1432,very low
33989,None,289.08,0.0,0.0,90,Clouds,overcast clouds,5/24/2017 19:00,3759,medium
2205,None,269.2,0.0,0.0,90,Haze,haze,12/19/2012 15:00,5912,very high
22024,None,274.14,0.0,0.0,1,Clear,sky is clear,3/25/2016 9:00,4671,high
32085,None,274.94,0.0,0.0,90,Rain,moderate rain,3/26/2017 7:00,1150,very low
16085,None,295.42,2.16,0.0,90,Mist,mist,6/28/2015 16:00,4317,medium
20720,None,265.36,0.0,0.0,90,Haze,haze,1/20/2016 12:00,4688,high
6085,None,291.15,0.0,0.0,1,Clear,sky is clear,5/17/2013 9:00,5008,high
31247,None,273.91,0.0,0.0,90,Clouds,overcast clouds,2/23/2017 15:00,6165,very high
36137,None,295.01,0.0,0.0,75,Clouds,broken clouds,8/10/2017 18:00,4692,high
3497,None,270.86,0.0,0.0,90,Snow,heavy snow,2/11/2013 5:00,2419,low
12943,None,270.73,0.0,0.0,75,Clouds,broken clouds,3/15/2014 19:00,3647,medium
41238,None,253.82,0.0,0.0,1,Clear,sky is clear,2/4/2018 7:00,1320,very low
36654,None,291.72,0.0,0.0,90,Drizzle,drizzle,8/26/2017 18:00,3845,medium
9202,None,294.83,0.0,0.0,1,Clear,sky is clear,9/29/2013 18:00,4483,high
22113,None,277.94,0.0,0.0,1,Clear,sky is clear,3/29/2016 6:00,5513,high
32231,None,279.56,0.0,0.0,90,Clouds,overcast clouds,3/31/2017 0:00,780,very low
32967,None,281.69,0.0,0.0,1,Clear,sky is clear,4/23/2017 6:00,809,very low
1666,None,271.25,0.0,0.0,90,Fog,fog,12/3/2012 5:00,2518,low
7594,None,289.52,0.0,0.0,0,Clear,Sky is Clear,7/11/2013 7:00,6508,very high
23809,None,298.22,0.0,0.0,75,Clouds,broken clouds,5/30/2016 20:00,2946,medium
1170,None,267.91,0.0,0.0,20,Clouds,few clouds,11/13/2012 21:00,2192,low
16145,None,290.53,0.0,0.0,1,Haze,haze,6/30/2015 8:00,5354,high
24819,None,296.15,0.0,0.0,1,Clear,sky is clear,7/9/2016 21:00,10,very low
39287,None,276.48,0.0,0.0,1,Clear,sky is clear,11/27/2017 9:00,5063,high
41538,None,262.35,0.0,0.0,1,Clear,sky is clear,2/16/2018 1:00,387,very low
12529,None,250.9,0.0,0.0,75,Clouds,broken clouds,2/26/2014 7:00,5453,high
15887,None,295.05,0.0,0.0,40,Rain,light rain,8/4/2014 11:00,5090,high
6130,None,287.23,0.0,0.0,90,Clouds,overcast clouds,5/18/2013 21:00,3099,medium
23300,None,285.01,0.0,0.0,90,Clouds,overcast clouds,5/12/2016 21:00,2838,low
31174,None,273.84,0.0,0.0,1,Snow,light snow,2/21/2017 9:00,5252,high
36050,None,287.55,0.0,0.0,1,Clear,sky is clear,8/8/2017 5:00,2983,medium
36088,None,291.87,0.0,0.0,90,Rain,heavy intensity rain,8/9/2017 15:00,5434,high
39543,None,265.15,0.0,0.0,75,Snow,light snow,12/6/2017 10:00,4772,high
17463,None,290.76,0.0,0.0,40,Rain,moderate rain,8/17/2015 20:00,2652,low
25023,None,292.0,0.0,0.0,0,Clear,Sky is Clear,7/17/2016 21:00,2611,low
5724,None,276.55,0.0,0.0,1,Clear,sky is clear,5/3/2013 23:00,2005,low
39772,None,268.22,0.0,0.0,90,Snow,light snow,12/14/2017 20:00,3055,medium
20699,None,251.88,0.0,0.0,1,Clear,sky is clear,1/19/2016 10:00,4416,high
38467,None,278.42,0.0,0.0,90,Clouds,overcast clouds,10/29/2017 19:00,3409,medium
20449,None,272.47,0.0,0.25,90,Snow,light snow,1/6/2016 21:00,2077,low
11691,None,247.15,0.0,0.0,1,Clear,sky is clear,1/23/2014 4:00,754,very low
32822,None,284.22,0.0,0.0,90,Clouds,overcast clouds,4/18/2017 20:00,3226,medium
6582,None,290.99,0.0,0.0,90,Thunderstorm,thunderstorm with light rain,6/1/2013 2:00,557,very low
13837,None,278.33,0.0,0.0,1,Clear,sky is clear,4/22/2014 2:00,232,very low
27121,None,288.774,0.0,0.0,0,Clear,Sky is Clear,10/5/2016 16:00,5905,very high
45938,None,289.55,0.0,0.0,1,Clear,sky is clear,7/18/2018 3:00,377,very low
13668,None,269.23,0.0,0.0,75,Clouds,broken clouds,4/15/2014 1:00,316,very low
3927,None,266.32,0.0,0.0,1,Mist,mist,2/26/2013 22:00,3111,medium
19165,None,285.15,0.0,0.0,90,Rain,moderate rain,10/27/2015 19:00,3157,medium
3675,None,256.8,0.0,0.0,90,Mist,mist,2/17/2013 7:00,962,very low
42249,None,272.36,0.0,0.0,75,Mist,mist,3/11/2018 7:00,1039,very low
38224,None,289.42,0.0,0.0,90,Rain,light rain,10/21/2017 20:00,3000,medium
22547,None,287.51,0.0,0.0,1,Rain,heavy intensity rain,4/18/2016 22:00,3626,medium
17877,None,294.35,0.3,0.0,20,Rain,light rain,9/1/2015 4:00,888,very low
42056,None,275.0,0.0,0.0,90,Snow,light snow,3/5/2018 2:00,391,very low
40784,None,275.28,0.0,0.0,90,Clouds,overcast clouds,1/19/2018 12:00,5218,high
5885,None,297.2,0.0,0.0,1,Clear,sky is clear,5/9/2013 14:00,5598,high
33745,None,287.88,0.0,0.0,90,Mist,mist,5/17/2017 21:00,2348,low
8236,None,296.88,0.0,0.0,12,Clouds,few clouds,8/6/2013 15:00,5947,very high
6716,None,285.48,0.3,0.0,90,Mist,mist,6/6/2013 4:00,812,very low
43032,None,271.01,0.0,0.0,75,Clouds,broken clouds,4/8/2018 11:00,3961,medium
47087,None,293.15,0.93,0.0,75,Mist,mist,8/26/2018 8:00,2467,low
42518,None,269.29,0.0,0.0,90,Snow,light snow,3/21/2018 9:00,5356,high
1008,None,278.31,0.0,0.0,90,Clouds,overcast clouds,11/8/2012 10:00,4670,high
37158,None,304.01,0.0,0.0,1,Clear,sky is clear,9/14/2017 16:00,6774,very high
36801,None,285.57,0.0,0.0,1,Haze,haze,9/1/2017 2:00,357,very low
530,None,288.53,0.0,0.0,90,Clouds,overcast clouds,10/23/2012 17:00,5844,very high
25604,None,299.001,0.0,0.0,68,Clouds,broken clouds,8/9/2016 10:00,4107,medium
32352,None,283.43,0.0,0.0,90,Drizzle,drizzle,4/3/2017 20:00,2644,low
40030,None,264.65,0.0,0.0,90,Clouds,overcast clouds,12/24/2017 0:00,1147,very low
25631,None,303.8,0.0,0.0,0,Clear,Sky is Clear,8/10/2016 13:00,4243,medium
28090,None,273.46,0.0,0.0,1,Haze,haze,11/15/2016 3:00,323,very low
20305,None,267.16,0.0,0.0,90,Mist,mist,12/30/2015 5:00,2293,low
40822,None,274.02,0.0,0.0,1,Clear,sky is clear,1/20/2018 22:00,3608,medium
30114,None,271.95,0.0,0.0,90,Snow,light snow,1/16/2017 21:00,1580,low
46900,None,292.15,0.0,0.0,20,Clouds,few clouds,8/21/2018 12:00,4794,high
37907,None,276.34,0.0,0.0,20,Clouds,few clouds,10/10/2017 1:00,334,very low
34431,None,291.35,0.0,0.0,90,Thunderstorm,proximity thunderstorm,6/11/2017 13:00,4325,medium
5743,None,274.67,0.0,0.0,90,Snow,heavy snow,5/4/2013 12:00,4991,high
24644,None,298.81,0.0,0.0,40,Clouds,scattered clouds,7/3/2016 14:00,3454,medium
39999,None,269.22,0.0,0.0,40,Clouds,scattered clouds,12/22/2017 16:00,5346,high
31691,None,266.09,0.0,0.0,90,Snow,snow,3/12/2017 18:00,2823,low
14253,None,287.43,0.51,0.0,90,Rain,light rain,5/12/2014 4:00,780,very low
45426,None,308.87,0.0,0.0,40,Clouds,scattered clouds,6/29/2018 18:00,4798,high
6635,None,282.62,0.0,0.0,75,Clouds,broken clouds,6/3/2013 5:00,2769,low
10887,None,256.7,0.0,0.0,64,Mist,mist,12/23/2013 3:00,351,very low
17054,None,301.01,0.0,0.0,40,Clouds,scattered clouds,8/2/2015 16:00,3942,medium
16173,None,295.56,0.0,0.0,1,Clear,sky is clear,7/1/2015 17:00,5969,very high
31417,None,270.72,0.0,0.0,75,Snow,light snow,3/1/2017 21:00,2439,low
34643,None,294.62,0.0,0.0,1,Clear,sky is clear,6/18/2017 19:00,3740,medium
46721,None,291.93,0.0,0.0,1,Clear,sky is clear,8/15/2018 5:00,3181,medium
11555,None,276.793,0.0,0.0,64,Clouds,broken clouds,1/17/2014 15:00,5564,high
25509,None,295.47,0.0,0.0,0,Clear,Sky is Clear,8/5/2016 11:00,4694,high
26755,None,293.89,0.0,0.0,12,Clouds,few clouds,9/20/2016 11:00,4220,medium
46906,None,295.48,0.0,0.0,40,Clouds,scattered clouds,8/21/2018 18:00,4435,high
23302,None,284.05,0.0,0.0,40,Clouds,scattered clouds,5/12/2016 23:00,1316,very low
33708,None,289.68,0.0,0.0,75,Drizzle,drizzle,5/17/2017 5:00,2787,low
28331,None,274.22,0.0,0.0,90,Snow,light snow,11/22/2016 18:00,3189,medium
20976,None,271.08,0.0,0.0,40,Mist,mist,2/2/2016 3:00,355,very low
13651,None,270.7,0.0,0.0,90,Clouds,overcast clouds,4/14/2014 8:00,6037,very high
32577,None,280.14,0.0,0.0,40,Clouds,scattered clouds,4/11/2017 14:00,5136,high
37061,None,290.15,0.0,0.0,1,Clear,sky is clear,9/11/2017 4:00,853,very low
4213,None,275.63,0.0,0.0,90,Drizzle,drizzle,3/10/2013 15:00,4230,medium
25826,None,297.19,0.25,0.0,8,Rain,light rain,8/18/2016 16:00,6021,very high
30149,None,273.71,0.0,0.0,90,Mist,mist,1/17/2017 13:00,4521,high
12207,None,264.88,0.0,0.0,90,Clouds,overcast clouds,2/13/2014 0:00,548,very low
23448,None,293.23,0.0,0.0,20,Clouds,few clouds,5/18/2016 18:00,4201,medium
39787,None,268.01,0.0,0.0,75,Clouds,broken clouds,12/15/2017 11:00,5342,high
15749,None,299.16,0.0,0.0,90,Clouds,overcast clouds,7/25/2014 16:00,6571,very high
45241,None,288.36,0.0,0.0,1,Mist,mist,6/23/2018 5:00,966,very low
7093,None,291.18,0.0,0.0,24,Clouds,few clouds,6/18/2013 23:00,1310,very low
30762,None,273.4,0.0,0.0,40,Clouds,scattered clouds,2/4/2017 14:00,4832,high
25321,None,295.95,0.0,0.0,90,Clouds,overcast clouds,7/28/2016 19:00,3209,medium
18390,None,287.32,0.51,0.0,90,Rain,light rain,9/18/2015 19:00,3695,medium
33418,None,283.21,0.0,0.0,40,Clouds,scattered clouds,5/7/2017 3:00,443,very low
19082,None,294.51,0.0,0.0,40,Clouds,scattered clouds,10/19/2015 14:00,5101,high
22137,None,279.51,0.0,0.0,90,Mist,mist,3/30/2016 10:00,4527,high
19253,None,280.58,0.0,0.0,90,Mist,mist,10/31/2015 3:00,411,very low
37808,None,286.15,0.0,0.0,90,Rain,light rain,10/6/2017 22:00,2625,low
32653,None,281.75,0.0,0.0,90,Clouds,overcast clouds,4/14/2017 3:00,331,very low
43575,None,280.42,0.0,0.0,1,Clear,sky is clear,4/25/2018 11:00,4891,high
10711,None,255.14,0.0,0.0,90,Clouds,overcast clouds,12/15/2013 23:00,890,very low
17335,None,294.69,1.67,0.0,90,Rain,moderate rain,8/13/2015 4:00,868,very low
16705,None,298.77,0.0,0.0,1,Clear,sky is clear,7/19/2015 20:00,3468,medium
15010,None,283.69,0.25,0.0,1,Rain,light rain,6/8/2014 7:00,1434,very low
41136,None,264.72,0.0,0.0,90,Snow,light snow,1/31/2018 22:00,1739,low
14923,None,293.46,1.02,0.0,92,Rain,moderate rain,6/5/2014 21:00,2864,low
27522,None,280.24,0.0,0.0,0,Clear,Sky is Clear,10/23/2016 2:00,745,very low
6360,None,279.89,0.0,0.0,1,Clear,sky is clear,5/24/2013 7:00,6372,very high
46405,None,293.8,0.0,0.0,90,Mist,mist,8/3/2018 22:00,2594,low
1692,None,278.49,0.0,0.0,75,Mist,mist,12/4/2012 1:00,346,very low
5240,None,276.24,0.0,0.0,90,Mist,mist,4/18/2013 19:00,2190,low
47900,None,288.22,1.3,0.0,90,Rain,moderate rain,9/20/2018 9:00,5264,high
42165,None,261.08,0.0,0.0,1,Clear,sky is clear,3/8/2018 6:00,5661,high
32600,None,284.21,0.0,0.0,75,Clouds,broken clouds,4/12/2017 12:00,4953,high
42027,None,275.35,0.0,0.0,90,Thunderstorm,thunderstorm with light drizzle,3/4/2018 6:00,733,very low
44125,None,297.35,0.0,0.0,1,Clear,sky is clear,5/15/2018 19:00,3602,medium
7748,None,299.49,0.0,0.0,56,Clouds,broken clouds,7/17/2013 23:00,1311,very low
35572,None,293.55,0.0,0.0,1,Clear,sky is clear,7/22/2017 7:00,1996,low
4096,None,268.72,0.0,0.0,90,Snow,snow,3/5/2013 23:00,994,very low
27946,None,284.59,0.0,0.0,20,Clouds,few clouds,11/9/2016 11:00,4420,high
17805,None,286.03,0.25,0.0,1,Rain,light rain,8/29/2015 4:00,388,very low
3656,None,259.75,0.0,0.0,20,Clouds,few clouds,2/16/2013 9:00,3798,medium
14297,None,281.18,0.25,0.0,56,Rain,light rain,5/13/2014 9:00,5181,high
41608,None,274.35,0.0,0.0,75,Clouds,broken clouds,2/18/2018 21:00,2044,low
3112,None,251.69,0.0,0.0,20,Clouds,few clouds,1/22/2013 19:00,2774,low
43707,None,300.87,0.0,0.0,1,Clear,sky is clear,4/30/2018 19:00,3259,medium
36431,None,291.89,0.0,0.0,90,Fog,fog,8/19/2017 10:00,3843,medium
43136,None,279.15,0.0,0.0,90,Rain,light rain,4/11/2018 21:00,2418,low
