,Unnamed: 0,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical,temperature_categorical
83,17071,None,292.98,0.0,0.0,1,Clear,sky is clear,8/3/2015 9:00,4773,high,high
84,44999,None,297.69,0.0,0.0,1,Clear,sky is clear,6/16/2018 6:00,1196,very low,high
85,42339,None,279.35,0.0,0.0,5,Clear,sky is clear,3/14/2018 19:00,3426,medium,medium
86,24242,None,291.76,0.0,0.0,0,Clear,Sky is Clear,6/17/2016 0:00,844,very low,medium
87,27760,None,278.89,0.0,0.0,1,Clear,sky is clear,11/2/2016 0:00,559,very low,medium
88,32953,None,292.96,0.0,0.0,5,Clear,sky is clear,4/22/2017 16:00,4436,high,high
89,3768,None,262.02,0.0,0.0,57,Clouds,broken clouds,2/21/2013 14:00,5484,high,low
90,32973,None,287.69,0.0,0.0,1,Clear,sky is clear,4/23/2017 12:00,4907,high,medium
91,45538,None,297.15,0.0,0.0,90,Drizzle,light intensity drizzle,7/3/2018 15:00,5526,high,high
92,17203,None,291.7,0.0,0.0,40,Mist,mist,8/8/2015 5:00,797,very low,medium
93,12945,None,269.25,0.0,0.0,75,Clouds,broken clouds,3/15/2014 21:00,3252,medium,low
94,40469,None,278.01,0.0,0.0,75,Clouds,broken clouds,1/9/2018 17:00,6104,very high,medium
95,27797,None,284.89,0.0,0.0,75,Clouds,broken clouds,11/3/2016 11:00,4459,high,medium
96,24839,None,292.11,0.25,0.0,90,Mist,mist,7/10/2016 9:00,3062,medium,high
97,29150,None,250.15,0.0,0.0,5,Clear,sky is clear,12/15/2016 9:00,5097,high,low
98,38363,None,274.75,0.0,0.0,90,Snow,light snow,10/27/2017 0:00,685,very low,medium
99,2241,None,272.43,0.0,0.0,75,Haze,haze,12/20/2012 15:00,5632,high,medium
100,40158,None,258.68,0.0,0.0,75,Haze,haze,12/28/2017 11:00,3433,medium,low
101,26629,None,294.26,0.0,0.0,90,Thunderstorm,proximity thunderstorm,9/15/2016 12:00,4857,high,high
102,30698,None,262.09,0.0,0.0,1,Clear,sky is clear,2/1/2017 22:00,1753,low,low
103,134,None,271.23,0.0,0.0,20,Clouds,few clouds,10/8/2012 8:00,5966,very high,low
104,13724,None,272.05,0.25,0.0,90,Rain,light rain,4/17/2014 9:00,5241,high,low
105,41927,None,266.08,0.0,0.0,5,Mist,mist,2/28/2018 8:00,6007,very high,low
106,46688,None,302.42,0.0,0.0,5,Clear,sky is clear,8/13/2018 20:00,2835,low,high
107,12202,None,266.26,0.0,0.0,90,Clouds,overcast clouds,2/12/2014 19:00,3150,medium,low
108,47217,None,285.24,0.25,0.0,40,Rain,light rain,8/30/2018 6:00,5886,very high,medium
109,47245,None,293.37,0.85,0.0,90,Drizzle,light intensity drizzle,8/31/2018 4:00,851,very low,high
110,45473,None,294.02,0.0,0.0,90,Drizzle,light intensity drizzle,7/1/2018 9:00,2495,low,high
111,45744,None,303.72,0.0,0.0,75,Clouds,broken clouds,7/11/2018 19:00,3412,medium,high
112,26348,None,296.4,0.0,0.0,90,Rain,moderate rain,9/5/2016 19:00,2751,low,high
113,712,None,273.63,0.0,0.0,90,Clouds,overcast clouds,10/28/2012 3:00,443,very low,medium
114,40820,None,274.86,0.0,0.0,75,Clouds,broken clouds,1/20/2018 20:00,3497,medium,medium
115,46257,None,296.61,0.0,0.0,1,Clear,sky is clear,7/29/2018 11:00,3824,medium,high
116,33487,None,289.93,0.0,0.0,20,Clouds,few clouds,5/9/2017 12:00,4943,high,medium
117,12188,None,263.64,0.0,0.0,90,Clouds,overcast clouds,2/12/2014 5:00,2678,low,low
118,35717,None,292.49,0.0,0.0,1,Mist,mist,7/27/2017 1:00,612,very low,high
119,28501,None,273.09,0.0,0.0,5,Mist,mist,11/26/2016 20:00,2548,low,medium
120,25495,None,293.36,0.0,0.0,0,Clear,Sky is Clear,8/4/2016 21:00,3048,medium,high
121,18167,None,281.62,0.0,0.0,1,Clear,sky is clear,9/11/2015 4:00,854,very low,medium
122,35582,None,304.02,0.0,0.0,40,Clouds,scattered clouds,7/22/2017 17:00,4192,medium,high
123,34761,None,288.84,0.0,0.0,1,Clear,sky is clear,6/23/2017 2:00,561,very low,medium
124,24545,None,296.7,0.0,0.0,75,Clouds,broken clouds,6/29/2016 12:00,4635,high,high
125,43075,None,273.22,0.0,0.0,40,Clouds,scattered clouds,4/9/2018 11:00,4276,medium,medium
126,15881,None,291.99,0.0,0.0,1,Mist,mist,8/4/2014 6:00,5592,high,high
127,4779,None,277.72,0.0,0.0,1,Clear,sky is clear,4/4/2013 13:00,5180,high,medium
128,37351,None,297.36,0.0,0.0,1,Clear,sky is clear,9/22/2017 1:00,505,very low,high
129,6422,None,288.64,0.0,0.0,90,Clouds,overcast clouds,5/26/2013 16:00,3464,medium,medium
130,10221,None,271.95,0.0,0.0,64,Clouds,broken clouds,11/29/2013 18:00,3587,medium,low
131,9661,None,273.85,0.0,0.0,64,Snow,light snow,11/6/2013 4:00,859,very low,medium
132,37491,None,288.29,0.0,0.0,90,Drizzle,light intensity drizzle,9/26/2017 11:00,4716,high,medium
133,5097,None,273.98,0.0,0.0,90,Snow,heavy snow,4/13/2013 19:00,3319,medium,medium
134,29879,None,264.75,0.0,0.0,90,Snow,light snow,1/9/2017 2:00,473,very low,low
135,38104,None,279.55,0.0,0.0,1,Clear,sky is clear,10/17/2017 6:00,6046,very high,medium
136,10568,None,260.59,0.0,0.0,64,Mist,mist,12/10/2013 5:00,2627,low,low
137,16742,None,292.34,0.0,0.0,1,Clear,sky is clear,7/21/2015 9:00,5024,high,high
138,23261,None,285.91,0.7,0.0,90,Drizzle,drizzle,5/11/2016 19:00,3243,medium,medium
139,47401,None,295.28,1.21,0.0,90,Rain,heavy intensity rain,9/4/2018 11:00,4477,high,high
140,9245,None,286.88,0.0,0.0,92,Rain,light rain,10/3/2013 21:00,3179,medium,medium
141,40799,None,270.55,0.0,0.0,1,Mist,mist,1/20/2018 3:00,366,very low,low
142,47283,None,297.06,0.25,0.0,90,Rain,light rain,9/1/2018 11:00,4897,high,high
143,2575,None,260.53,0.0,0.0,20,Clouds,few clouds,1/1/2013 16:00,2864,low,low
144,42067,None,274.79,0.0,0.0,90,Snow,light shower snow,3/5/2018 10:00,3586,medium,medium
145,29943,None,259.34,0.0,0.0,1,Clear,sky is clear,1/10/2017 20:00,2219,low,low
146,47509,None,294.26,0.0,0.0,40,Clouds,scattered clouds,9/7/2018 12:00,5073,high,high
147,38703,None,272.15,0.0,0.0,90,Clouds,overcast clouds,11/5/2017 18:00,3765,medium,low
148,8710,None,296.22,0.0,0.0,48,Clouds,scattered clouds,8/29/2013 22:00,2150,low,high
149,24414,None,287.37,0.0,0.0,0,Clear,Sky is Clear,6/24/2016 4:00,1005,very low,medium
150,43089,None,272.68,0.0,0.0,90,Clouds,overcast clouds,4/10/2018 1:00,333,very low,medium
151,44984,None,303.94,0.0,0.0,90,Thunderstorm,proximity thunderstorm,6/15/2018 16:00,6333,very high,high
152,11585,None,276.793,0.0,0.0,64,Clouds,broken clouds,1/18/2014 21:00,2400,low,medium
153,3550,None,271.37,0.0,0.0,90,Mist,mist,2/12/2013 3:00,343,very low,low
154,20430,None,269.59,0.0,0.0,90,Clouds,overcast clouds,1/5/2016 22:00,1432,very low,low
155,33989,None,289.08,0.0,0.0,90,Clouds,overcast clouds,5/24/2017 19:00,3759,medium,medium
156,2205,None,269.2,0.0,0.0,90,Haze,haze,12/19/2012 15:00,5912,very high,low
157,22024,None,274.14,0.0,0.0,1,Clear,sky is clear,3/25/2016 9:00,4671,high,medium
158,32085,None,274.94,0.0,0.0,90,Rain,moderate rain,3/26/2017 7:00,1150,very low,medium
159,16085,None,295.42,2.16,0.0,90,Mist,mist,6/28/2015 16:00,4317,medium,high
160,20720,None,265.36,0.0,0.0,90,Haze,haze,1/20/2016 12:00,4688,high,low
161,6085,None,291.15,0.0,0.0,1,Clear,sky is clear,5/17/2013 9:00,5008,high,medium
162,31247,None,273.91,0.0,0.0,90,Clouds,overcast clouds,2/23/2017 15:00,6165,very high,medium
163,36137,None,295.01,0.0,0.0,75,Clouds,broken clouds,8/10/2017 18:00,4692,high,high
164,3497,None,270.86,0.0,0.0,90,Snow,heavy snow,2/11/2013 5:00,2419,low,low
165,12943,None,270.73,0.0,0.0,75,Clouds,broken clouds,3/15/2014 19:00,3647,medium,low
166,41238,None,253.82,0.0,0.0,1,Clear,sky is clear,2/4/2018 7:00,1320,very low,low
167,36654,None,291.72,0.0,0.0,90,Drizzle,drizzle,8/26/2017 18:00,3845,medium,medium
168,9202,None,294.83,0.0,0.0,1,Clear,sky is clear,9/29/2013 18:00,4483,high,high
169,22113,None,277.94,0.0,0.0,1,Clear,sky is clear,3/29/2016 6:00,5513,high,medium
170,32231,None,279.56,0.0,0.0,90,Clouds,overcast clouds,3/31/2017 0:00,780,very low,medium
171,32967,None,281.69,0.0,0.0,1,Clear,sky is clear,4/23/2017 6:00,809,very low,medium
172,1666,None,271.25,0.0,0.0,90,Fog,fog,12/3/2012 5:00,2518,low,low
173,7594,None,289.52,0.0,0.0,0,Clear,Sky is Clear,7/11/2013 7:00,6508,very high,medium
174,23809,None,298.22,0.0,0.0,75,Clouds,broken clouds,5/30/2016 20:00,2946,medium,high
175,1170,None,267.91,0.0,0.0,20,Clouds,few clouds,11/13/2012 21:00,2192,low,low
176,16145,None,290.53,0.0,0.0,1,Haze,haze,6/30/2015 8:00,5354,high,medium
177,24819,None,296.15,0.0,0.0,1,Clear,sky is clear,7/9/2016 21:00,10,very low,high
178,39287,None,276.48,0.0,0.0,1,Clear,sky is clear,11/27/2017 9:00,5063,high,medium
179,41538,None,262.35,0.0,0.0,1,Clear,sky is clear,2/16/2018 1:00,387,very low,low
180,12529,None,250.9,0.0,0.0,75,Clouds,broken clouds,2/26/2014 7:00,5453,high,low
181,15887,None,295.05,0.0,0.0,40,Rain,light rain,8/4/2014 11:00,5090,high,high
182,6130,None,287.23,0.0,0.0,90,Clouds,overcast clouds,5/18/2013 21:00,3099,medium,medium
183,23300,None,285.01,0.0,0.0,90,Clouds,overcast clouds,5/12/2016 21:00,2838,low,medium
184,31174,None,273.84,0.0,0.0,1,Snow,light snow,2/21/2017 9:00,5252,high,medium
185,36050,None,287.55,0.0,0.0,1,Clear,sky is clear,8/8/2017 5:00,2983,medium,medium
186,36088,None,291.87,0.0,0.0,90,Rain,heavy intensity rain,8/9/2017 15:00,5434,high,high
187,39543,None,265.15,0.0,0.0,75,Snow,light snow,12/6/2017 10:00,4772,high,low
188,17463,None,290.76,0.0,0.0,40,Rain,moderate rain,8/17/2015 20:00,2652,low,medium
189,25023,None,292.0,0.0,0.0,0,Clear,Sky is Clear,7/17/2016 21:00,2611,low,high
190,5724,None,276.55,0.0,0.0,1,Clear,sky is clear,5/3/2013 23:00,2005,low,medium
191,39772,None,268.22,0.0,0.0,90,Snow,light snow,12/14/2017 20:00,3055,medium,low
192,20699,None,251.88,0.0,0.0,1,Clear,sky is clear,1/19/2016 10:00,4416,high,low
193,38467,None,278.42,0.0,0.0,90,Clouds,overcast clouds,10/29/2017 19:00,3409,medium,medium
194,20449,None,272.47,0.0,0.25,90,Snow,light snow,1/6/2016 21:00,2077,low,medium
195,11691,None,247.15,0.0,0.0,1,Clear,sky is clear,1/23/2014 4:00,754,very low,low
196,32822,None,284.22,0.0,0.0,90,Clouds,overcast clouds,4/18/2017 20:00,3226,medium,medium
197,6582,None,290.99,0.0,0.0,90,Thunderstorm,thunderstorm with light rain,6/1/2013 2:00,557,very low,medium
198,13837,None,278.33,0.0,0.0,1,Clear,sky is clear,4/22/2014 2:00,232,very low,medium
199,27121,None,288.774,0.0,0.0,0,Clear,Sky is Clear,10/5/2016 16:00,5905,very high,medium
200,45938,None,289.55,0.0,0.0,1,Clear,sky is clear,7/18/2018 3:00,377,very low,medium
201,13668,None,269.23,0.0,0.0,75,Clouds,broken clouds,4/15/2014 1:00,316,very low,low
202,3927,None,266.32,0.0,0.0,1,Mist,mist,2/26/2013 22:00,3111,medium,low
203,19165,None,285.15,0.0,0.0,90,Rain,moderate rain,10/27/2015 19:00,3157,medium,medium
204,3675,None,256.8,0.0,0.0,90,Mist,mist,2/17/2013 7:00,962,very low,low
205,42249,None,272.36,0.0,0.0,75,Mist,mist,3/11/2018 7:00,1039,very low,medium
206,38224,None,289.42,0.0,0.0,90,Rain,light rain,10/21/2017 20:00,3000,medium,medium
207,22547,None,287.51,0.0,0.0,1,Rain,heavy intensity rain,4/18/2016 22:00,3626,medium,medium
208,17877,None,294.35,0.3,0.0,20,Rain,light rain,9/1/2015 4:00,888,very low,high
209,42056,None,275.0,0.0,0.0,90,Snow,light snow,3/5/2018 2:00,391,very low,medium
210,40784,None,275.28,0.0,0.0,90,Clouds,overcast clouds,1/19/2018 12:00,5218,high,medium
211,5885,None,297.2,0.0,0.0,1,Clear,sky is clear,5/9/2013 14:00,5598,high,high
212,33745,None,287.88,0.0,0.0,90,Mist,mist,5/17/2017 21:00,2348,low,medium
213,8236,None,296.88,0.0,0.0,12,Clouds,few clouds,8/6/2013 15:00,5947,very high,high
214,6716,None,285.48,0.3,0.0,90,Mist,mist,6/6/2013 4:00,812,very low,medium
215,43032,None,271.01,0.0,0.0,75,Clouds,broken clouds,4/8/2018 11:00,3961,medium,low
216,47087,None,293.15,0.93,0.0,75,Mist,mist,8/26/2018 8:00,2467,low,high
217,42518,None,269.29,0.0,0.0,90,Snow,light snow,3/21/2018 9:00,5356,high,low
218,1008,None,278.31,0.0,0.0,90,Clouds,overcast clouds,11/8/2012 10:00,4670,high,medium
219,37158,None,304.01,0.0,0.0,1,Clear,sky is clear,9/14/2017 16:00,6774,very high,high
220,36801,None,285.57,0.0,0.0,1,Haze,haze,9/1/2017 2:00,357,very low,medium
221,530,None,288.53,0.0,0.0,90,Clouds,overcast clouds,10/23/2012 17:00,5844,very high,medium
222,25604,None,299.001,0.0,0.0,68,Clouds,broken clouds,8/9/2016 10:00,4107,medium,high
223,32352,None,283.43,0.0,0.0,90,Drizzle,drizzle,4/3/2017 20:00,2644,low,medium
224,40030,None,264.65,0.0,0.0,90,Clouds,overcast clouds,12/24/2017 0:00,1147,very low,low
225,25631,None,303.8,0.0,0.0,0,Clear,Sky is Clear,8/10/2016 13:00,4243,medium,high
226,28090,None,273.46,0.0,0.0,1,Haze,haze,11/15/2016 3:00,323,very low,medium
227,20305,None,267.16,0.0,0.0,90,Mist,mist,12/30/2015 5:00,2293,low,low
228,40822,None,274.02,0.0,0.0,1,Clear,sky is clear,1/20/2018 22:00,3608,medium,medium
229,30114,None,271.95,0.0,0.0,90,Snow,light snow,1/16/2017 21:00,1580,low,low
230,46900,None,292.15,0.0,0.0,20,Clouds,few clouds,8/21/2018 12:00,4794,high,high
231,37907,None,276.34,0.0,0.0,20,Clouds,few clouds,10/10/2017 1:00,334,very low,medium
232,34431,None,291.35,0.0,0.0,90,Thunderstorm,proximity thunderstorm,6/11/2017 13:00,4325,medium,medium
233,5743,None,274.67,0.0,0.0,90,Snow,heavy snow,5/4/2013 12:00,4991,high,medium
234,24644,None,298.81,0.0,0.0,40,Clouds,scattered clouds,7/3/2016 14:00,3454,medium,high
235,39999,None,269.22,0.0,0.0,40,Clouds,scattered clouds,12/22/2017 16:00,5346,high,low
236,31691,None,266.09,0.0,0.0,90,Snow,snow,3/12/2017 18:00,2823,low,low
237,14253,None,287.43,0.51,0.0,90,Rain,light rain,5/12/2014 4:00,780,very low,medium
238,45426,None,308.87,0.0,0.0,40,Clouds,scattered clouds,6/29/2018 18:00,4798,high,high
239,6635,None,282.62,0.0,0.0,75,Clouds,broken clouds,6/3/2013 5:00,2769,low,medium
240,10887,None,256.7,0.0,0.0,64,Mist,mist,12/23/2013 3:00,351,very low,low
241,17054,None,301.01,0.0,0.0,40,Clouds,scattered clouds,8/2/2015 16:00,3942,medium,high
242,16173,None,295.56,0.0,0.0,1,Clear,sky is clear,7/1/2015 17:00,5969,very high,high
243,31417,None,270.72,0.0,0.0,75,Snow,light snow,3/1/2017 21:00,2439,low,low
244,34643,None,294.62,0.0,0.0,1,Clear,sky is clear,6/18/2017 19:00,3740,medium,high
245,46721,None,291.93,0.0,0.0,1,Clear,sky is clear,8/15/2018 5:00,3181,medium,high
246,11555,None,276.793,0.0,0.0,64,Clouds,broken clouds,1/17/2014 15:00,5564,high,medium
247,25509,None,295.47,0.0,0.0,0,Clear,Sky is Clear,8/5/2016 11:00,4694,high,high
248,26755,None,293.89,0.0,0.0,12,Clouds,few clouds,9/20/2016 11:00,4220,medium,high
249,46906,None,295.48,0.0,0.0,40,Clouds,scattered clouds,8/21/2018 18:00,4435,high,high
250,23302,None,284.05,0.0,0.0,40,Clouds,scattered clouds,5/12/2016 23:00,1316,very low,medium
251,33708,None,289.68,0.0,0.0,75,Drizzle,drizzle,5/17/2017 5:00,2787,low,medium
252,28331,None,274.22,0.0,0.0,90,Snow,light snow,11/22/2016 18:00,3189,medium,medium
253,20976,None,271.08,0.0,0.0,40,Mist,mist,2/2/2016 3:00,355,very low,low
254,13651,None,270.7,0.0,0.0,90,Clouds,overcast clouds,4/14/2014 8:00,6037,very high,low
255,32577,None,280.14,0.0,0.0,40,Clouds,scattered clouds,4/11/2017 14:00,5136,high,medium
256,37061,None,290.15,0.0,0.0,1,Clear,sky is clear,9/11/2017 4:00,853,very low,medium
257,4213,None,275.63,0.0,0.0,90,Drizzle,drizzle,3/10/2013 15:00,4230,medium,medium
258,25826,None,297.19,0.25,0.0,8,Rain,light rain,8/18/2016 16:00,6021,very high,high
259,30149,None,273.71,0.0,0.0,90,Mist,mist,1/17/2017 13:00,4521,high,medium
260,12207,None,264.88,0.0,0.0,90,Clouds,overcast clouds,2/13/2014 0:00,548,very low,low
261,23448,None,293.23,0.0,0.0,20,Clouds,few clouds,5/18/2016 18:00,4201,medium,high
262,39787,None,268.01,0.0,0.0,75,Clouds,broken clouds,12/15/2017 11:00,5342,high,low
263,15749,None,299.16,0.0,0.0,90,Clouds,overcast clouds,7/25/2014 16:00,6571,very high,high
264,45241,None,288.36,0.0,0.0,1,Mist,mist,6/23/2018 5:00,966,very low,medium
265,7093,None,291.18,0.0,0.0,24,Clouds,few clouds,6/18/2013 23:00,1310,very low,medium
266,30762,None,273.4,0.0,0.0,40,Clouds,scattered clouds,2/4/2017 14:00,4832,high,medium
267,25321,None,295.95,0.0,0.0,90,Clouds,overcast clouds,7/28/2016 19:00,3209,medium,high
268,18390,None,287.32,0.51,0.0,90,Rain,light rain,9/18/2015 19:00,3695,medium,medium
269,33418,None,283.21,0.0,0.0,40,Clouds,scattered clouds,5/7/2017 3:00,443,very low,medium
270,19082,None,294.51,0.0,0.0,40,Clouds,scattered clouds,10/19/2015 14:00,5101,high,high
271,22137,None,279.51,0.0,0.0,90,Mist,mist,3/30/2016 10:00,4527,high,medium
272,19253,None,280.58,0.0,0.0,90,Mist,mist,10/31/2015 3:00,411,very low,medium
273,37808,None,286.15,0.0,0.0,90,Rain,light rain,10/6/2017 22:00,2625,low,medium
274,32653,None,281.75,0.0,0.0,90,Clouds,overcast clouds,4/14/2017 3:00,331,very low,medium
275,43575,None,280.42,0.0,0.0,1,Clear,sky is clear,4/25/2018 11:00,4891,high,medium
